Quarter,Region,Product_Category,Revenue,Cost_of_Goods_Sold,Gross_Profit,Gross_Margin,Operating_Expenses,EBITDA,Net_Income,Units_Sold,Avg_Price_Per_Unit,Customer_Count,Market_Share
Q1 2023,North America,Electronics,2450000,1470000,980000,40.0%,420000,560000,336000,12500,196,1250,12.5%
Q1 2023,North America,Software,1800000,360000,1440000,80.0%,280000,1160000,696000,4500,400,180,8.2%
Q1 2023,North America,Services,3200000,800000,2400000,75.0%,480000,1920000,1152000,8000,400,320,15.8%
Q1 2023,Europe,Electronics,1980000,1188000,792000,40.0%,340000,452000,271200,10100,196,1010,10.1%
Q1 2023,Europe,Software,1450000,290000,1160000,80.0%,220000,940000,564000,3625,400,145,6.8%
Q1 2023,Europe,Services,2580000,645000,1935000,75.0%,390000,1545000,927000,6450,400,258,12.7%
Q1 2023,Asia Pacific,Electronics,3120000,1872000,1248000,40.0%,520000,728000,436800,15918,196,1592,15.9%
Q1 2023,Asia Pacific,Software,2200000,440000,1760000,80.0%,340000,1420000,852000,5500,400,220,10.3%
Q1 2023,Asia Pacific,Services,4100000,1025000,3075000,75.0%,620000,2455000,1473000,10250,400,410,20.2%
Q2 2023,North America,Electronics,2580000,1548000,1032000,40.0%,440000,592000,355200,13163,196,1316,13.2%
Q2 2023,North America,Software,1920000,384000,1536000,80.0%,300000,1236000,741600,4800,400,192,8.6%
Q2 2023,North America,Services,3400000,850000,2550000,75.0%,510000,2040000,1224000,8500,400,340,16.7%
Q2 2023,Europe,Electronics,2080000,1248000,832000,40.0%,360000,472000,283200,10612,196,1061,10.6%
Q2 2023,Europe,Software,1520000,304000,1216000,80.0%,240000,976000,585600,3800,400,152,7.1%
Q2 2023,Europe,Services,2720000,680000,2040000,75.0%,410000,1630000,978000,6800,400,272,13.4%
Q2 2023,Asia Pacific,Electronics,3280000,1968000,1312000,40.0%,550000,762000,457200,16735,196,1674,16.7%
Q2 2023,Asia Pacific,Software,2320000,464000,1856000,80.0%,360000,1496000,897600,5800,400,232,10.9%
Q2 2023,Asia Pacific,Services,4300000,1075000,3225000,75.0%,650000,2575000,1545000,10750,400,430,21.1%
Q3 2023,North America,Electronics,2720000,1632000,1088000,40.0%,460000,628000,376800,13878,196,1388,13.9%
Q3 2023,North America,Software,2040000,408000,1632000,80.0%,320000,1312000,787200,5100,400,204,9.1%
Q3 2023,North America,Services,3600000,900000,2700000,75.0%,540000,2160000,1296000,9000,400,360,17.6%
Q3 2023,Europe,Electronics,2180000,1308000,872000,40.0%,380000,492000,295200,11122,196,1112,11.1%
Q3 2023,Europe,Software,1580000,316000,1264000,80.0%,260000,1004000,602400,3950,400,158,7.4%
Q3 2023,Europe,Services,2860000,715000,2145000,75.0%,430000,1715000,1029000,7150,400,286,14.0%
Q3 2023,Asia Pacific,Electronics,3440000,2064000,1376000,40.0%,580000,796000,477600,17551,196,1755,17.6%
Q3 2023,Asia Pacific,Software,2440000,488000,1952000,80.0%,380000,1572000,943200,6100,400,244,11.4%
Q3 2023,Asia Pacific,Services,4500000,1125000,3375000,75.0%,680000,2695000,1617000,11250,400,450,22.1%
Q4 2023,North America,Electronics,2860000,1716000,1144000,40.0%,480000,664000,398400,14592,196,1459,14.6%
Q4 2023,North America,Software,2160000,432000,1728000,80.0%,340000,1388000,832800,5400,400,216,9.6%
Q4 2023,North America,Services,3800000,950000,2850000,75.0%,570000,2280000,1368000,9500,400,380,18.6%
Q4 2023,Europe,Electronics,2280000,1368000,912000,40.0%,400000,512000,307200,11633,196,1163,11.6%
Q4 2023,Europe,Software,1640000,328000,1312000,80.0%,280000,1032000,619200,4100,400,164,7.7%
Q4 2023,Europe,Services,3000000,750000,2250000,75.0%,450000,1800000,1080000,7500,400,300,14.7%
Q4 2023,Asia Pacific,Electronics,3600000,2160000,1440000,40.0%,610000,830000,498000,18367,196,1837,18.4%
Q4 2023,Asia Pacific,Software,2560000,512000,2048000,80.0%,400000,1648000,988800,6400,400,256,12.0%
Q4 2023,Asia Pacific,Services,4700000,1175000,3525000,75.0%,710000,2815000,1689000,11750,400,470,23.1%
Q1 2024,North America,Electronics,3000000,1800000,1200000,40.0%,500000,700000,420000,15306,196,1531,15.3%
Q1 2024,North America,Software,2280000,456000,1824000,80.0%,360000,1464000,878400,5700,400,228,10.1%
Q1 2024,North America,Services,4000000,1000000,3000000,75.0%,600000,2400000,1440000,10000,400,400,19.6%
Q1 2024,Europe,Electronics,2380000,1428000,952000,40.0%,420000,532000,319200,12143,196,1214,12.1%
Q1 2024,Europe,Software,1700000,340000,1360000,80.0%,300000,1060000,636000,4250,400,170,7.9%
Q1 2024,Europe,Services,3160000,790000,2370000,75.0%,470000,1900000,1140000,7900,400,316,15.5%
Q1 2024,Asia Pacific,Electronics,3760000,2256000,1504000,40.0%,640000,864000,518400,19184,196,1918,19.2%
Q1 2024,Asia Pacific,Software,2680000,536000,2144000,80.0%,420000,1724000,1034400,6700,400,268,12.5%
Q1 2024,Asia Pacific,Services,4900000,1225000,3675000,75.0%,740000,2935000,1761000,12250,400,490,24.0%


